"","PC_mean","PC_sd"
"Baltic rush",48.5714285714286,38.591264740686
"birds-foot trefoil",0.142857142857143,0.377964473009227
"black cottonwood",1.71428571428571,4.53557367611073
"coast silverweed",0.571428571428571,1.51185789203691
"common horsetail",2,1.4142135623731
"common rush",1.85714285714286,3.07834216359885
"common spike-rush",8.85714285714286,13.3220190090012
"creeping bentgrass",0.428571428571429,1.13389341902768
"creeping buttercup",1.57142857142857,2.14919697074224
"Cusick's sedge",5.71428571428571,15.1185789203691
"Douglas' aster",1.28571428571429,1.38013111868471
"European forget-me-not",0.285714285714286,0.487950036474267
"Himalayan blackberry",6,13.7961347243833
"horehound",1.57142857142857,2.07019667802706
"jointed rush",0.571428571428571,1.13389341902768
"Lyngbye's sedge",13.3571428571429,17.6085071431261
"marshpepper smartweed",0.142857142857143,0.377964473009227
"purple-leaved willowherb",0.142857142857143,0.377964473009227
"purple loosestrife",2.14285714285714,3.76069902316805
"rambler rose",0.428571428571429,1.13389341902768
"reed canarygrass",11,8.36660026534076
"rice cutgrass",14.2857142857143,22.2539456105675
"shining willow",1,2.64575131106459
"slough sedge",1.42857142857143,3.77964473009227
"small bedstraw",1.28571428571429,1.60356745147455
"swamp horsetail",1.78571428571429,2.30682218027931
"western St. John's-wort",4.42857142857143,6.10620293518929
"yellow iris",0.428571428571429,1.13389341902768
