"","x"
"1","reed canarygrass"
"2","Douglas' aster"
"3","water-plantain"
"4","European forget-me-not "
"5","small bedstraw"
"6","spreading rush"
"7","western lilaeopsis"
"8","pond-water starwort"
"9","Lyngbye's sedge"
"10","common spike-rush"
"11","nodding beggarticks"
"12","purple-leaved willowherb"
"13","colonial bentgrass"
"14","skunk cabbage"
"15","tall fescue"
"16","Baltic rush "
"17","pigmyweed"
"18","swamp horsetail"
"19","persicaria"
"20","low clubrush"
"21","jointed rush"
"22","broad-leaved arrowhead"
"23","soft-stemmed bulrush"
"24","Pacific water-parsley"
"25","yellow iris"
"26","beaked sedge"
"27","purple loosestrife"
"28","common rush"
"29","rice cutgrass"
"30","clustered dock"
