"","x"
"1","reed canarygrass"
"2","bog loosestrife"
"3","colonial bentgrass"
"4","clustered dock"
"5","nodding beggarticks"
"6","purple loosestrife"
"7","European forget-me-not "
"8","jointed rush"
"9","water-plantain"
"10","common spike-rush"
"11","water mudwort"
"12","pigmyweed"
"13","Lyngbye's sedge "
"14","narrow-leaved bur-reed"
"15","rice cutgrass"
"16","pond water-starwort"
"17","flowering quillwort"
"18","marshpepper smartweed"
"19","bractless hedge-hyssop"
