"","x"
"1","CARELYN"
"2","SCHOTAB"
"3","JUNCBAL"
"4","POTEANS"
"5","LYTHSAL"
"6","TYPHLAT"
"7","SIUMSUA"
"8","ELEOPAL"
"9","TYPHANG"
"10","CALLSTA"
"11","CALYSEP"
"12","PHALARUN"
"13","LATHPAL"
"14","SOLICAN"
"15","CIRSARV"
"16","EQUIFLU"
"17","IRISPSE"
"18","LOTUS Sp."
"19","RUMESAL"
