"","x"
"1","TYPHANG"
"2","IMPACAP"
"3","PHALARU"
"4","CIRSARV"
"5","LYTHSAL"
"6","SCRIMIC"
"7","TYPHLAT"
"8","TYPHGLA"
"9","MARRVUL"
"10","RORRIPA"
"11","EQUIARV"
"12","IRISPSE"
"13","ATHYFIL"
"14","ELEOPAL"
"15","CARELYB"
"16","SIUMSUA"
"17","AGROGIG"
"18","BIDECER"
