,Scientific,Common,Origin
1,Sagittaria latifolia,wapato,Native
2,Carex lyngbyei,Lyngby's sedge,Native
3,Juncus balticus,baltic rush,Native
4,Lythrum salicaria,purple loosestrife,Invasive
5,Schoenoplectus tabernaemontani,softstem bulrush,Native
6,Typha latifolia,broadleaf cattail,Native
7,Typha angustifolia,narrowleaf cattail,Invasive
8,Oenanthe sarmontosa,water parsley,Native
9,Juncus effusus,soft rush,Native
10,Phalarus arundinacea,reed canary grass,Invasive
