"","x"
"1","SAGILAT"
"2","CARELYN"
"3","JUNCBAL"
"4","WOOD"
"5","MUD"
"6","LYTHSAL"
"7","SCHOTAB"
"8","TYPHLAT"
"9","TYPHANG"
"10","LITTER"
"11","OENASAR"
"12","JUNCEFF"
"13","PHALARU"
