"","x"
"1","JUNCBAL"
"2","AGROSTO"
"3","CARELYN"
"4","PERSSP"
"5","ELEOPAL"
"6","LILLOCC"
"7","LYTHSAL"
"8","MYRIHIP"
"9","ALISTRI"
"10","IRISPSE"
"11","PHALARU"
"12","LYTSHAL"
"13","POTEANS"
"14","JUNCART"
"15","EQUIFLU"
"16","SYMPSUB"
"17","TRIFPRA"
"18","PLANMAJ"
"19","LYCOEUR"
"20","SOLICAN"
"21","SCHOTAB"
"22","CALLSTA"
"23","LYSITER"
"24","ELODCAN"
"25","TYPHGLA"
