"","x"
"1","TYPHLAT"
"2","CARELYN"
"3","LYTHSAL"
"4","LYCOEUR"
"5","PHALARU"
"6","POTEANS"
"7","SALIXSP"
"8","LOTUCOR"
"9","SOLICAN"
"10","SCHEARU"
"11","SCHOTAB"
"12","SAGILAT"
"13","COTUCOR"
"14","LILLOCC"
"15","ELEOPAL"
"16","CALLSTA"
"17","RUBUARM"
"18","TARAOFF"
"19","CARELYEN"
"20","AGROSTO"
"21","JUNCBAL"
"22","EQUIFLU"
"23","SYMPSUB"
"24","LYSINUM"
