"","x"
"1","SCHOTAB"
"2","JUNCBAL"
"3","ELEOPAL"
"4","CARELYN"
"5","PERSSP"
"6","CALLSTA"
"7","JUNCART"
"8","AGROSTO"
"9","PHALARU"
"10","LILLOCC"
"11","JUNCTEN"
"12","LYTHSAL"
"13","LYCOEUR"
"14","GALITRI"
"15","MYOSSCO"
"16","MOSSSP"
"17","TYPHLAT"
"18","JUNCEFF"
"19","SCIRMIC"
"20","VEROANA"
"21","IMPACAP"
"22","RUMEOCC"
"23","LYSINUM"
"24","CALTPAL"
"25","LYSIAME"
"26","IRISPSE"
"27","SYMPSUB"
"28","JUNCOXY"
"29","ALISTRI"
