"","x"
"1","AGROSTO"
"2","BIDECER"
"3","IRISPSE"
"4","LYTHSAL"
"5","PHALARU"
"6","TYPHGLA"
"7","ALISTRI"
"8","ELEOPAL"
"9","SAGILAT"
"10","PERSAMP"
"11","SIUMSUA"
"12","LILAOCC"
"13","SCHOETAB"
"14","TYPHLAT"
