"","x"
"1","CARELYN"
"2","TYPHLAT"
"3","AGROSTO"
"4","MYOSSCO"
"5","PHALARU"
"6","SCHOTAB"
"7","SAGILAT"
"8","ALISTRI"
"9","CALLSTA"
"10","ELODCAN"
"11","LYTHSAL"
"12","IRISPSE"
"13","PERSSP"
"14","ELEOPAL"
"15","BIDECER"
