"","x"
"1","PHALARU"
"2","CALACAN"
"3","CAREAQU"
"4","CAREVIR"
"5","LATHPAL"
"6","LYTHSAL"
"7","EQUIFLU"
"8","SCIRATR"
"9","IRISPSE"
