"","pcMean","pcSD","pcMax","pcMin"
"AGROSTO",0.516666666666667,1.72723285440422,6,0
"CAREAQU",3.75833333333333,10.407642151396,36,0
"CARELYN",4.675,10.5474792335334,35,0
"CAREOBN",17.8333333333333,31.2579686809717,80,0
"CARESTI",0.00833333333333333,0.0288675134594813,0.1,0
"CAREUTR",0.333333333333333,1.15470053837925,4,0
"ELEOPAL",0.025,0.0452267016866646,0.1,0
"EPILCIL",0.00833333333333333,0.0288675134594813,0.1,0
"EQUIARV",0.00833333333333333,0.0288675134594813,0.1,0
"EQUIFLU",0.116666666666667,0.282306517276824,1,0
"GALITRI",0.133333333333333,0.277434130866584,1,0
"IRISPSE",0.00833333333333333,0.0288675134594813,0.1,0
"JUNCART",0.358333333333333,0.638831793671903,2,0
"JUNCEFF",2.93333333333333,8.57992724416422,30,0
"JUNCOXY",0.025,0.0452267016866646,0.1,0
"JUNCTEN",0.25,0.866025403784439,3,0
"LILLOCC",0.00833333333333333,0.0288675134594813,0.1,0
"LITTER",8.58333333333333,12.2952935070393,40,0
"LOTUCOR",0.6,0.889330698283316,2,0
"LYCOEUR",0.591666666666667,1.43998632148386,5,0
"LYSINUM",0.175,0.38641710859922,1,0
"LYTHSAL",1.675,1.48760026400056,5,0
"MUD",45.9166666666667,30.5746726239318,90,0
"MYRIGAL",0.00833333333333333,0.0288675134594813,0.1,0
"PHALARU",0.775,0.727542563578367,2,0
"POTEANS",0.1,0.286038776773678,1,0
"RUMECON",0.0166666666666667,0.0389249472080761,0.1,0
"SALISP",0.25,0.866025403784439,3,0
"SCHOTAB",0.00833333333333333,0.0288675134594813,0.1,0
"SCIRATR",0.0833333333333333,0.288675134594813,1,0
"SCIRMIC",0.933333333333333,2.86937856222098,10,0
"TYPHLAT",0.666666666666667,1.49747261825525,5,0
"WOOD",5.25,11.9020624645097,40,0
