"","pcMean","pcSD","pcMax","pcMin"
"ATRIAT",0.05,0.223606797749979,1,0
"ATRIPAT",1.77,5.11129811506359,23,0
"ATRIPRO",0.005,0.0223606797749979,0.1,0
"DISTSPI",79.75,28.9261764533532,100,1
"JUNCGER",3.855,16.5239690338483,74,0
"LITTER",2.955,8.33625404956851,37,0
"LOG",1,4.47213595499958,20,0
"LYSIMAR",0.005,0.0223606797749979,0.1,0
"MUD",6.75,17.04753416341,76,0
"SALIPAC",2.365,3.74984561085695,12,0
"SPERCAN",0.005,0.0223606797749979,0.1,0
"TRIGMAR",1.365,4.43529800814473,20,0
"WOOD",0.3,0.923380516876639,4,0
