"","pcMean","pcSD","pcMax","pcMin"
"ACHIMIL",0.52,0.961249187255833,3,0
"AGROSTO",4,12.6491106406735,40,0
"ATRIPRO",25.3,27.8090712618103,90,0
"BOLBMAR",0.31,0.945691986501595,3,0
"COTUCOR",0.01,0.0316227766016838,0.1,0
"DISTSPI",1.11,3.13916124678764,10,0
"HORDBRA",0.01,0.0316227766016838,0.1,0
"LITTER",15.7,26.5917698211725,70,0
"MUD",34.7,31.1164479549536,88,0
"PHALARU",0.01,0.0316227766016838,0.1,0
"POLYAVI",1.53,4.73311032338497,15,0
"POTEANS",0.22,0.626808494588968,2,0
"SALIPAC",4.8,14.8308986765993,47,0
"SPERSAL",0.9,1.28668393770792,4,0
"SYMPSUB",6.3,13.38365503972,40,0
"TRIGMAR",0.6,1.34989711542111,4,0
"WOOD",6.7,9.00678756395543,25,0
