"","pcMean","pcSD","pcMax","pcMin"
"V1",0,0,0,0
"AGROSTO",0.04,0.05,0.1,0
"ALISTRI",0.044,0.200166597280032,1,0
"BIDECER",0.02,0.0408248290463863,0.1,0
"CALLSTA",0.028,0.0458257569495584,0.1,0
"CARELYN",0.04,0.2,1,0
"CARESP",0.004,0.02,0.1,0
"CAREUTR",0.04,0.2,1,0
"ELEOPAL",0.004,0.02,0.1,0
"GALITRI",0.024,0.0435889894354067,0.1,0
"GLYCSP",0.008,0.0276887462097269,0.1,0
"HYPESCO",0.056,0.200166597280032,1,0
"IMPACAP",0.096,0.27459060435492,1,0
"IRISPSE",1.88,5.14230817175841,25,0
"JUNCART",0.416,1.99701443827196,10,0
"JUNCEFF",0.24,0.830662386291807,3,0
"JUNCOXY",0.044,0.200166597280032,1,0
"LILLOCC",0.024,0.0435889894354067,0.1,0
"LITTER",25,37.9912270574844,96,0
"LOTUCOR",0.084,0.276405499221705,1,0
"LUDWPAL",0.004,0.02,0.1,0
"LYCOEUR",0.4,1.44337567297406,7,0
"LYSINUM",0.856,3.9933361157475,20,0
"LYSITER",0.692,3.00734101824186,15,0
"LYTHSAL",6.64,12.0584686700537,45,0
"MENTARV",0.004,0.02,0.1,0
"MUD",33.08,30.2626282180954,99,0
"MYOSSCO",20.692,33.5006582024891,95,0
"MYRIUSS",0.004,0.02,0.1,0
"NASTOFF",0.004,0.02,0.1,0
"PERSSP",1.544,5.28544227099303,25,0
"PHALARU",0.048,0.200249843945008,1,0
"POTEANS",1.608,7.99838108619488,40,0
"SCIRACU",0.6,3,15,0
"SCIRMIC",0.004,0.02,0.1,0
"SPAREME",0.004,0.02,0.1,0
"SYMPSUB",0.044,0.200166597280032,1,0
"TYPHANG",0.32,1.6,8,0
"TYPHGLA",0.8,3.1224989991992,15,0
"TYPHLAT",0.884,2.31366952408218,8,0
