"","pcMean","pcSD","pcMax","pcMin"
"AGROSTO",0.0375,0.0517549169506766,0.1,0
"ALISTRI",0.0125,0.0353553390593274,0.1,0
"CARELYN",0.625,1.76776695296637,5,0
"CIRSARV",1.25,3.53553390593274,10,0
"ELEOPAR",0.0125,0.0353553390593274,0.1,0
"JUNCART",0.0125,0.0353553390593274,0.1,0
"JUNCBAL",49.375,32.7803839426656,100,0
"LILLOCC",0.0125,0.0353553390593274,0.1,0
"LITTER",9.775,20.5968617581833,60,0
"LOTUCOR",7.5,11.9522860933439,35,0
"LYTHSAL",0.3,0.434248118673448,1,0
"MUD",14.25,21.1575720994366,60,0
"PHALARU",2.525,5.33204597558144,15,0
"ROCK",7.5,21.2132034355964,60,0
"SCIRMIC",0.1375,0.350255009141299,1,0
"WOOD",6.375,11.5007763713089,25,0
